token,tag
Israeli,O
Prime,O
Minister,O
Benjamin,O
Netanyahu,O
says,O
considerable,O
gaps,O
remain,O
between,O
Israeli,O
and,O
Palestinian,O
positions,O
before,O
next,B-DATE
week,I-DATE
',O
s,O
talks,O
in,O
London,O
.,O
He,O
and,O
Palestinian,O
leader,O
Yasser,O
Arafat,O
meet,O
separately,O
Monday,B-DATE
with,O
US,O
Secretary,O
of,O
State,O
Madeleine,O
Albright,O
.,O
At,O
a,O
news,O
conference,O
with,O
US,O
Vice,O
President,O
Al,O
Gore,O
in,O
Jerusalem,O
",",O
Mr,O
.,O
Netanyahu,O
suggested,O
Israel,O
might,O
be,O
willing,O
to,O
move,O
a,O
little,O
on,O
issues,O
holding,O
up,O
peace,O
",",O
but,O
he,O
said,O
he,O
expects,O
an,O
equal,O
effort,O
from,O
the,O
Palestinians,O
.,O
If,O
Israel,O
is,O
asked,O
to,O
uh,O
stretch,O
itself,O
on,O
matters,O
that,O
are,O
vital,O
to,O
its,O
security,O
concerns,O
",",O
then,O
we,O
must,O
see,O
an,O
equal,O
effort,O
on,O
the,O
other,O
side,O
.,O
Mr,O
.,O
Gore,O
called,O
on,O
Israel,O
to,O
continue,O
taking,O
risks,O
for,O
peace,O
.,O
