token,tag
Despite,O
the,O
recent,O
possibility,O
of,O
military,O
conflict,O
with,O
Iraq,O
",",O
oil,O
prices,O
have,O
been,O
falling,O
",",O
that,O
',O
s,O
because,O
of,O
a,O
worldwide,O
glut,O
of,O
oil,O
.,O
Now,B-DATE
with,O
a,O
diplomatic,O
solution,O
to,O
the,O
crisis,O
seemingly,O
at,O
hand,O
",",O
get,O
set,O
for,O
oil,O
prices,O
from,O
the,O
Brent,O
north,O
sea,O
variety,O
to,O
light,O
swede,O
crude,O
to,O
fall,O
further,O
.,O
Oil,O
prices,O
have,O
come,O
down,O
from,O
the,B-DATE
middle,I-DATE
of,I-DATE
October,I-DATE
from,O
a,O
twenty,O
-,O
two,O
dollar,O
barrel,O
level,O
down,O
to,O
the,O
fourteen,O
dollars,O
we,O
',O
re,O
seeing,O
today,B-DATE
.,O
That,O
',O
s,O
built,O
up,O
a,O
heck,O
of,O
a,O
momentum,O
and,O
that,O
momentum,O
will,O
look,O
to,O
increase,O
.,O
Ah,O
next,O
up,O
is,O
that,O
thirteen,O
dollar,O
a,O
barrel,O
level,O
we,O
saw,O
in,O
the,B-DATE
winter,I-DATE
of,I-DATE
nineteen,I-DATE
ninety,I-DATE
-,I-DATE
four,I-DATE
.,O
Weakened,O
oil,O
prices,O
have,O
already,O
made,O
life,O
easier,O
for,O
motorists,O
at,O
the,O
gas,O
pump,O
.,O
Gas,O
prices,O
fell,O
nearly,O
two,O
cents,O
a,O
gallon,O
over,O
the,B-DURATION
last,I-DURATION
two,I-DURATION
weeks,I-DURATION
.,O
That,O
according,O
to,O
the,O
Lundberg,O
survey,O
of,O
ten,O
thousand,O
gas,O
stations,O
nationwide,O
.,O
