token,tag
The,O
lights,O
are,O
out,O
and,O
the,O
heat,O
is,O
off,O
and,O
those,O
vital,O
signs,O
are,O
not,O
likely,O
to,O
change,O
much,O
over,O
the,B-DURATION
next,I-DURATION
several,I-DURATION
days,I-DURATION
for,O
p,O
-,O
people,O
in,O
parts,O
of,O
the,O
northeastern,O
US,O
and,O
eastern,O
Canada,O
.,O
A,O
powerful,O
ice,O
storm,O
continues,O
to,O
maintain,O
its,O
grip,O
.,O
Yesterday,B-DATE
New,O
York,O
governor,O
George,O
Pataki,O
toured,O
five,O
counties,O
that,O
have,O
been,O
declared,O
under,O
a,O
state,O
of,O
emergency,O
.,O
He,O
added,O
one,O
more,O
today,B-DATE
.,O
Helicopters,O
are,O
flying,O
over,O
northern,O
New,O
York,O
today,B-DATE
trying,O
to,O
locate,O
people,O
stranded,O
without,O
food,O
",",O
heat,O
or,O
medicine,O
.,O
In,O
Maine,O
",",O
about,O
a,O
half,O
million,O
people,O
still,O
don,O
',O
t,O
have,O
power,O
and,O
they,O
',O
re,O
going,O
to,O
have,O
to,O
live,O
without,O
it,O
for,O
a,B-DURATION
while,I-DURATION
.,O
