token,tag
On,O
the,O
other,O
hand,O
",",O
it,O
',O
s,O
turning,O
out,O
to,O
be,O
another,O
very,O
bad,O
financial,O
week,B-DURATION
for,O
Asia,O
.,O
The,O
financial,O
assistance,O
from,O
the,O
World,O
Bank,O
and,O
the,O
International,O
Monetary,O
Fund,O
are,O
not,O
helping,O
.,O
In,O
the,B-DURATION
last,I-DURATION
twenty,I-DURATION
four,I-DURATION
hours,I-DURATION
",",O
the,O
value,O
of,O
the,O
Indonesian,O
stock,O
market,O
has,O
fallen,O
by,O
twelve,O
percent,O
.,O
The,O
Indonesian,O
currency,O
has,O
lost,O
twenty,O
six,O
percent,O
of,O
its,O
value,O
.,O
In,O
Singapore,O
",",O
stocks,O
hit,O
a,O
five,B-DURATION
year,I-DURATION
low,O
.,O
In,O
the,O
Philippines,O
",",O
a,O
four,B-DURATION
year,I-DURATION
low,O
.,O
And,O
in,O
Hong,O
Kong,O
",",O
a,O
three,O
percent,O
drop,O
.,O
More,O
problems,O
in,O
Hong,O
Kong,O
for,O
a,O
place,O
",",O
for,O
an,O
economy,O
",",O
that,O
many,O
experts,O
thought,O
was,O
once,O
invincible,O
.,O
Here,O
',O
s,O
ABC,O
',O
s,O
Jim,O
Laurie,O
.,O
Not,O
that,O
long,O
ago,O
",",O
before,O
the,O
Chinese,O
takeover,O
",",O
the,O
news,O
about,O
real,O
estate,O
here,O
was,O
that,O
the,O
sky,O
was,O
the,O
limit,O
the,O
highest,O
prices,O
in,O
the,O
world,O
.,O
So,O
when,O
Wong,O
Kwan,O
spent,O
seventy,O
million,O
dollars,O
for,O
this,O
house,O
",",O
he,O
thought,O
it,O
was,O
a,O
great,O
deal,O
.,O
He,O
sold,O
the,O
property,O
to,O
five,O
buyers,O
and,O
said,O
he,O
',O
d,O
double,O
his,O
money,O
.,O
In,O
Hong,O
Kong,O
",",O
is,O
always,O
belongs,O
to,O
the,O
seller,O
',O
s,O
market,O
.,O
Now,B-DATE
with,O
new,O
construction,O
under,O
way,O
",",O
three,O
of,O
his,O
buyers,O
have,O
backed,O
out,O
.,O
And,O
Wong,O
Kwan,O
will,O
be,O
lucky,O
to,O
break,O
even,O
.,O
All,O
across,O
Hong,O
Kong,O
",",O
the,O
property,O
market,O
has,O
crashed,O
.,O
Pamela,O
Pak,O
owns,O
eight,O
condominiums,O
here,O
.,O
Pak,O
can,O
',O
t,O
find,O
buyers,O
.,O
She,O
estimates,O
her,O
properties,O
",",O
worth,O
a,O
hundred,O
thirty,O
million,O
dollars,O
in,O
October,B-DATE
",",O
are,O
worth,O
only,O
half,O
that,O
now,B-DATE
.,O
They,O
believe,O
ah,O
it,O
will,O
be,O
always,O
up,O
going,O
up,O
and,O
up,O
ah,O
forever,O
.,O
Nobody,O
believe,O
this,O
any,O
more,O
.,O
Of,O
all,O
of,O
Asia,O
',O
s,O
economies,O
",",O
Hong,O
Kong,O
is,O
the,O
most,O
robust,O
.,O
But,O
in,O
the,B-DURATION
past,I-DURATION
three,I-DURATION
months,I-DURATION
",",O
stocks,O
have,O
plunged,O
",",O
interest,O
rates,O
have,O
soared,O
and,O
the,O
downturn,O
all,O
across,O
Asia,O
means,O
that,O
people,O
are,O
not,O
spending,O
here,O
.,O
Hotels,O
are,O
only,O
thirty,O
percent,O
full,O
.,O
You,O
can,O
get,O
seventy,O
percent,O
discounts,O
at,O
the,O
shopping,O
malls,O
.,O
Three,O
thousand,O
dollar,O
pearls,O
for,O
eight,O
hundred,O
dollars,O
.,O
A,O
two,O
hundred,O
dollar,O
wool,O
jacket,O
for,O
fifty,O
dollars,O
.,O
Still,O
",",O
there,O
are,O
few,O
buyers,O
.,O
And,O
at,O
the,O
big,O
brokerage,O
houses,O
",",O
after,O
ten,B-DURATION
years,I-DURATION
of,O
boom,O
",",O
they,O
',O
re,O
talking,O
about,O
layoffs,O
.,O
I,O
think,O
that,O
the,O
mood,O
is,O
fairly,O
gloomy,O
",",O
and,O
I,O
think,O
it,O
',O
s,O
not,O
going,O
to,O
change,O
for,O
a,B-DURATION
couple,I-DURATION
of,I-DURATION
years,I-DURATION
.,O
So,O
for,O
Hong,O
Kong,O
",",O
it,O
',O
s,O
time,O
",",O
as,O
investment,O
bankers,O
like,O
to,O
say,O
",",O
to,O
reposition,O
.,O
To,O
either,O
hold,O
on,O
tight,O
or,O
get,O
out,O
",",O
as,O
much,O
of,O
Asia,O
goes,O
into,O
recession,O
.,O
Jim,O
Laurie,O
",",O
ABC,O
News,O
",",O
Hong,O
Kong,O
.,O
