token,tag
AMHERST,O
",",O
N,O
.,O
Y,O
.,O
(,O
AP,O
),O
--,O
A,O
rifle,O
found,O
near,O
the,O
home,O
of,O
a,O
slain,O
abortion,O
doctor,O
may,O
yield,O
important,O
clues,O
for,O
investigators,O
trying,O
to,O
track,O
down,O
the,O
gunman,O
.,O
Dr,O
.,O
Barnett,O
Slepian,O
was,O
killed,O
in,O
his,O
kitchen,O
by,O
a,O
sniper,O
',O
s,O
bullet,O
last,B-DATE
fall,I-DATE
.,O
Investigators,O
said,O
Friday,B-DATE
they,O
found,O
a,O
rifle,O
buried,O
near,O
his,O
home,O
in,O
the,O
Buffalo,O
suburb,O
of,O
Amherst,O
.,O
The,O
gun,O
was,O
sent,O
to,O
the,O
FBI,O
laboratory,O
in,O
Washington,O
to,O
determine,O
whether,O
it,O
was,O
used,O
to,O
kill,O
Slepian,O
.,O
``,O
If,O
it,O
',O
s,O
not,O
too,O
badly,O
rusted,O
",",O
they,O
may,O
be,O
able,O
to,O
match,O
the,O
bullet,O
back,O
to,O
the,O
weapon,O
",''",O
said,O
Walter,O
Rowe,O
",",O
forensics,O
sciences,O
professor,O
at,O
George,O
Washington,O
University,O
.,O
The,O
rifle,O
might,O
also,O
have,O
clothing,O
fibers,O
",",O
fingerprints,O
or,O
a,O
serial,O
number,O
that,O
can,O
be,O
traced,O
to,O
the,O
buyer,O
",",O
Rowe,O
said,O
.,O
Buried,O
a,O
foot,O
beneath,O
the,O
ground,O
",",O
the,O
weapon,O
was,O
unearthed,O
during,O
a,O
search,O
of,O
a,O
heavily,O
wooded,O
",",O
four,O
-,O
acre,O
area,O
Thursday,B-DATE
.,O
Investigators,O
did,O
not,O
say,O
how,O
close,O
the,O
weapon,O
was,O
to,O
the,O
house,O
.,O
Anti,O
-,O
abortion,O
protester,O
James,O
Kopp,O
is,O
being,O
sought,O
as,O
a,O
material,O
witness,O
in,O
the,O
shooting,O
.,O
Investigators,O
said,O
Kopp,O
',O
s,O
car,O
was,O
seen,O
in,O
the,O
neighborhood,O
in,O
the,O
days,B-DATE
before,O
the,O
slaying,O
.,O
Kopp,O
vanished,O
after,O
the,O
shooting,O
",",O
and,O
the,O
car,O
was,O
found,O
abandoned,O
at,O
the,O
Newark,O
",",O
N,O
.,O
J,O
".,",O
airport,O
in,O
December,B-DATE
.,O
Officials,O
said,O
DNA,O
test,O
results,O
showed,O
a,O
likelihood,O
that,O
a,O
strand,O
of,O
hair,O
discovered,O
behind,O
Slepian,O
',O
s,O
home,O
came,O
from,O
Kopp,O
.,O
